record_id,redcap_event_name,start_time,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_note,voice_summ,end_time,pdqsi9_complete
1000,human_evaluations_arm_4,10/22/24 7:56,1,4,1,3,3,2,5,1,3,0,0,10/22/24 8:08,2
1001,human_evaluations_arm_4,10/22/24 8:10,5,5,3,5,5,5,5,0,,0,0,10/22/24 8:22,2
1002,human_evaluations_arm_4,10/22/24 8:32,1,1,5,5,5,5,5,1,3,0,0,10/22/24 8:44,2
1003,human_evaluations_arm_4,10/31/24 8:47,1,1,1,2,1,3,2,1,1,0,0,10/31/24 9:05,2
1004,human_evaluations_arm_4,10/31/24 9:06,1,5,1,2,4,5,5,0,,0,0,10/31/24 9:16,2
1005,human_evaluations_arm_4,10/31/24 11:37,5,5,5,5,5,5,5,1,3,0,0,10/31/24 11:44,2
1006,human_evaluations_arm_4,11/7/24 10:48,1,3,1,2,1,3,1,1,2,0,0,11/7/24 10:52,2
1007,human_evaluations_arm_4,10/31/24 8:24,5,5,5,2,5,5,5,1,3,0,0,10/31/24 8:32,2
1008,human_evaluations_arm_4,11/6/24 8:49,5,5,4,5,4,3,5,1,3,0,0,11/6/24 9:04,2
1009,human_evaluations_arm_4,,5,3,5,2,3,4,4,1,3,0,0,11/22/24 11:04,2
1010,human_evaluations_arm_4,10/24/24 11:03,5,5,4,5,5,5,5,1,4,0,0,10/24/24 11:12,2
1011,human_evaluations_arm_4,11/22/24 11:05,1,4,1,2,2,3,1,1,3,0,0,11/22/24 11:12,2
1012,human_evaluations_arm_4,11/22/24 11:14,5,5,5,5,4,5,4,0,,0,0,11/22/24 11:22,2
1013,human_evaluations_arm_4,10/29/24 8:14,1,1,4,4,3,5,1,1,3,0,0,10/29/24 8:27,2
1014,human_evaluations_arm_4,,5,4,5,4,3,5,3,1,3,0,0,10/28/24 9:59,2
1015,human_evaluations_arm_4,11/22/24 11:22,1,5,1,4,3,4,2,0,,0,0,11/22/24 11:40,2
1016,human_evaluations_arm_4,10/28/24 8:56,1,2,5,3,1,4,1,1,3,0,0,10/28/24 9:05,2
1017,human_evaluations_arm_4,11/22/24 14:16,1,3,5,2,1,4,3,1,4,0,0,11/22/24 14:26,2
1018,human_evaluations_arm_4,,5,3,4,4,4,4,3,1,4,0,0,10/28/24 12:47,2
1019,human_evaluations_arm_4,11/22/24 14:26,5,5,5,5,5,5,5,0,,0,0,11/22/24 14:40,2
1020,human_evaluations_arm_4,10/31/24 8:35,5,5,5,3,5,5,5,1,5,0,0,10/31/24 8:41,2
1021,human_evaluations_arm_4,11/6/24 9:04,1,5,5,2,3,1,2,0,,0,0,11/6/24 9:15,2
1022,human_evaluations_arm_4,11/9/24 3:58,1,5,4,3,2,3,1,1,3,0,0,11/9/24 4:08,2
1023,human_evaluations_arm_4,11/7/24 8:53,5,5,5,5,5,5,5,1,3,0,0,11/7/24 8:53,2
1024,human_evaluations_arm_4,11/9/24 3:54,1,1,5,5,5,5,3,0,,0,0,11/9/24 3:57,2
1025,human_evaluations_arm_4,11/6/24 9:23,1,5,5,2,4,4,1,1,3,0,0,11/6/24 9:34,2
1026,human_evaluations_arm_4,10/28/24 9:06,5,3,5,5,3,5,4,1,4,0,0,10/28/24 9:20,2
1027,human_evaluations_arm_4,11/12/24 12:09,1,5,5,3,3,3,1,1,3,0,0,11/12/24 12:19,2
1028,human_evaluations_arm_4,,1,4,5,4,5,4,1,0,,0,0,11/12/24 12:32,2
1029,human_evaluations_arm_4,11/26/24 15:45,1,4,4,2,2,5,2,1,4,0,0,11/26/24 15:53,2
1030,human_evaluations_arm_4,11/30/24 5:28,5,3,5,4,4,5,4,0,,0,0,11/30/24 5:32,2
1031,human_evaluations_arm_4,12/2/24 11:40,5,5,1,4,3,5,5,1,3,0,0,12/2/24 11:43,2
1032,human_evaluations_arm_4,12/2/24 11:43,5,5,3,4,3,3,3,1,3,0,0,12/2/24 12:03,2
1033,human_evaluations_arm_4,12/2/24 12:04,5,5,3,5,3,5,5,1,3,0,0,12/2/24 12:13,2
