record_id,redcap_event_name,start_time,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_note,voice_summ,end_time,pdqsi9_complete
1000,human_evaluations_arm_9,10/21/24 14:12,1,5,3,2,3,3,1,1,3,0,0,10/21/24 14:22,2
1001,human_evaluations_arm_9,10/21/24 14:40,5,5,5,4,5,5,4,0,,0,0,10/21/24 14:48,2
1002,human_evaluations_arm_9,10/21/24 15:55,1,5,5,4,5,5,5,1,3,0,0,10/21/24 16:13,2
1003,human_evaluations_arm_9,10/29/24 10:46,1,1,1,2,2,5,3,1,3,0,0,10/29/24 11:14,2
1004,human_evaluations_arm_9,,1,4,1,3,3,5,5,1,3,0,0,,2
1005,human_evaluations_arm_9,10/29/24 12:11,5,5,4,3,5,5,5,1,3,1,0,10/29/24 12:24,2
1006,human_evaluations_arm_9,10/29/24 13:00,1,2,1,2,1,5,1,1,3,0,0,10/29/24 13:13,2
1007,human_evaluations_arm_9,10/29/24 14:43,5,5,4,3,5,5,5,1,4,1,0,10/29/24 15:01,2
1008,human_evaluations_arm_9,10/29/24 15:47,4,5,2,5,5,3,5,1,3,1,1,10/29/24 16:08,2
1009,human_evaluations_arm_9,10/29/24 17:11,5,4,5,4,5,5,5,1,3,0,0,10/29/24 17:30,2
1010,human_evaluations_arm_9,10/30/24 8:57,5,3,3,5,5,5,5,1,4,0,0,10/30/24 9:13,2
1011,human_evaluations_arm_9,10/30/24 10:41,1,5,1,2,2,5,1,1,3,0,0,10/30/24 10:59,2
1012,human_evaluations_arm_9,10/30/24 11:36,5,4,4,3,5,5,5,1,4,0,0,10/30/24 11:49,2
1013,human_evaluations_arm_9,10/30/24 12:19,1,3,3,5,3,5,2,1,3,0,0,10/30/24 12:34,2
1014,human_evaluations_arm_9,10/30/24 14:18,5,5,3,3,2,5,5,1,3,0,0,10/30/24 14:32,2
1015,human_evaluations_arm_9,11/6/24 11:14,5,3,5,3,5,3,4,1,4,0,0,11/6/24 11:35,2
1016,human_evaluations_arm_9,11/6/24 11:50,1,5,4,3,2,3,5,1,4,0,0,11/6/24 12:10,2
1017,human_evaluations_arm_9,11/6/24 12:30,1,1,2,3,2,5,3,1,3,0,1,11/6/24 12:54,2
1018,human_evaluations_arm_9,11/6/24 13:10,4,5,5,5,5,5,5,1,3,1,0,11/6/24 13:23,2
1019,human_evaluations_arm_9,11/6/24 13:25,5,5,4,4,5,5,5,1,3,0,0,11/6/24 13:36,2
1020,human_evaluations_arm_9,11/6/24 14:53,5,5,5,5,5,5,5,1,5,0,0,11/6/24 15:00,2
1021,human_evaluations_arm_9,11/6/24 15:00,2,4,4,4,5,4,4,1,3,0,0,11/6/24 15:17,2
1022,human_evaluations_arm_9,11/6/24 15:19,5,5,1,3,3,3,4,1,3,0,0,11/6/24 15:30,2
1023,human_evaluations_arm_9,11/6/24 15:34,5,5,5,5,5,5,5,1,4,0,0,11/6/24 15:38,2
1024,human_evaluations_arm_9,11/6/24 15:39,1,3,5,5,5,5,5,1,4,0,0,11/6/24 15:47,2
1025,human_evaluations_arm_9,11/6/24 17:56,1,5,3,2,2,5,2,1,4,0,0,11/6/24 18:11,2
1026,human_evaluations_arm_9,11/6/24 18:12,5,5,3,3,3,5,5,1,3,1,0,11/6/24 18:22,2
1027,human_evaluations_arm_9,11/6/24 18:46,5,4,4,4,4,5,4,1,4,0,0,11/6/24 19:04,2
1028,human_evaluations_arm_9,11/6/24 19:04,1,5,2,5,2,5,2,1,3,0,0,11/6/24 19:20,2
1029,human_evaluations_arm_9,11/6/24 19:26,2,4,4,5,2,5,3,0,,0,0,11/6/24 19:36,2
1030,human_evaluations_arm_9,11/6/24 19:38,5,5,5,4,4,5,4,1,4,0,0,11/6/24 19:53,2
1031,human_evaluations_arm_9,11/7/24 9:17,5,5,5,4,5,5,5,1,4,0,0,11/7/24 9:41,2
1032,human_evaluations_arm_9,11/20/24 13:01,5,3,4,4,4,5,5,1,3,0,0,11/20/24 13:08,2
1033,human_evaluations_arm_9,11/7/24 10:16,5,4,4,5,5,5,5,1,3,0,0,11/7/24 10:35,2
1034,human_evaluations_arm_9,11/7/24 10:35,5,5,5,5,4,5,5,1,4,0,0,11/7/24 10:52,2
1035,human_evaluations_arm_9,11/7/24 10:56,5,5,4,4,4,5,5,1,4,0,0,11/7/24 11:13,2
1036,human_evaluations_arm_9,11/8/24 15:41,1,4,2,3,2,5,4,1,3,0,0,11/8/24 16:02,2
1037,human_evaluations_arm_9,11/8/24 16:09,5,4,5,5,2,5,5,1,3,0,0,11/8/24 16:22,2
1038,human_evaluations_arm_9,11/8/24 16:58,5,5,5,2,2,5,3,0,,0,1,11/8/24 17:22,2
1039,human_evaluations_arm_9,11/8/24 16:43,5,3,5,4,4,5,5,1,3,0,0,11/8/24 16:56,2
1040,human_evaluations_arm_9,11/8/24 17:22,1,5,1,2,2,3,1,1,3,1,0,11/8/24 17:35,2
1041,human_evaluations_arm_9,11/8/24 17:44,5,4,3,4,5,5,5,1,4,1,0,11/8/24 17:58,2
1042,human_evaluations_arm_9,11/8/24 17:58,1,5,3,4,5,5,4,1,4,0,0,11/8/24 18:11,2
1043,human_evaluations_arm_9,11/8/24 18:12,1,3,5,2,2,5,1,1,3,0,0,11/8/24 18:23,2
1044,human_evaluations_arm_9,11/9/24 14:27,1,1,1,2,1,5,4,1,3,0,1,11/9/24 14:43,2
1045,human_evaluations_arm_9,11/9/24 14:44,5,5,4,3,4,5,5,1,4,1,1,11/9/24 15:04,2
1046,human_evaluations_arm_9,11/9/24 15:04,5,5,4,4,5,5,5,1,5,0,0,11/9/24 15:12,2
1047,human_evaluations_arm_9,11/9/24 15:12,1,5,4,4,2,4,2,1,3,0,0,11/9/24 15:29,2
1048,human_evaluations_arm_9,11/9/24 15:47,5,5,4,3,5,5,5,1,5,0,0,11/9/24 15:58,2
1049,human_evaluations_arm_9,11/9/24 18:48,5,5,5,4,5,5,5,1,3,0,0,11/9/24 18:56,2
